kode,kelompok,nama,satuan,harga
1.3.02.01.01.0012,Alat Besar Darat,Alat Besar Darat Lainnya Container Sampah 2,Unit,35000000
1.3.02.01.01.0003,Alat Besar Darat,Excavator Excavator PC 130,Unit,1400000000
1.3.02.01.01.0003,Alat Besar Darat,Excavator Excavator PC 75,Unit,800000000
1.3.02.01.01.0011,Alat Besar Darat,Mesin Proses Mesin Katinting,Unit,15000000
1.3.02.10.01.0002,Alat Keamanan,) UMAY WELEN,Unit,9234000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD,Unit,12360000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD,Unit,16274000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD 14 Touchscreen vas,Unit,86000
1.3.02.10.01.0002,Alat Keamanan,4GB 256GB SSD 14 FHD,Unit,6840000
1.3.02.10.01.0002,Alat Keamanan,4GB 256GB SSD 14 LED HD,Unit,5928000
1.3.02.10.01.0002,Alat Keamanan,4GB 512GB 14”,Unit,6283000
1.3.02.10.01.0002,Alat Keamanan,4GB 512GB SSD,Unit,9476000
1.3.02.10.01.0002,Alat Keamanan,8GB . 18GB,Unit,7158500
1.3.02.10.01.0002,Alat Keamanan,8GB 1TB HDD,Unit,6592000
1.3.02.10.01.0002,Alat Keamanan,8GB 256GB SSD 14,Unit,6270000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD,Unit,13493000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD,Unit,7957658
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,7752000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,12312000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,7725000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,9630500
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14 Touchscreen,Unit,9064000
1.3.02.10.01.0002,Alat Keamanan,BGR HOD) t,Unit,3137300
1.3.02.10.01.0002,Alat Keamanan,PC. Komputer,Unit,10145500
1.3.02.10.01.0002,Alat Keamanan,Personal,Unit,14973800
1.3.02.10.01.0002,Alat Keamanan,"Personal C N 2 , pAeky2Se",Unit,3228000
